state,year,predicted_label,confidence,prob_Low,prob_Medium,prob_High
Assam,2023.0,Medium,0.44,0.235,0.44,0.325
Assam,2024.0,High,0.98,0.0,0.02,0.98
Goa,2023.0,Medium,0.53,0.02,0.53,0.45
Goa,2024.0,Medium,0.52,0.02,0.52,0.46
Haryana,2023.0,High,0.89,0.0,0.11,0.89
Haryana,2024.0,High,1.0,0.0,0.0,1.0
Karnataka,2023.0,High,1.0,0.0,0.0,1.0
Karnataka,2024.0,High,1.0,0.0,0.0,1.0
Maharashtra,2023.0,High,0.965,0.03,0.005,0.965
Maharashtra,2024.0,High,0.89,0.065,0.045,0.89
Manipur,2023.0,Medium,0.545,0.32,0.545,0.135
Manipur,2024.0,High,0.775,0.02,0.205,0.775
Mizoram,2023.0,Medium,0.44,0.235,0.44,0.325
Mizoram,2024.0,High,0.97,0.0,0.03,0.97
Odisha,2023.0,High,1.0,0.0,0.0,1.0
Odisha,2024.0,High,1.0,0.0,0.0,1.0
Punjab,2023.0,High,0.89,0.0,0.11,0.89
Punjab,2024.0,High,1.0,0.0,0.0,1.0
Rajasthan,2023.0,High,0.89,0.0,0.11,0.89
Rajasthan,2024.0,High,1.0,0.0,0.0,1.0
Telangana,2023.0,High,1.0,0.0,0.0,1.0
Telangana,2024.0,High,1.0,0.0,0.0,1.0
